MediaId,CastID
1,0
2,1
2,2
2,3
2,4
2,5
2,6
2,7
2,8
2,9
2,10
2,11
2,12
2,13
2,14
2,15
2,16
2,17
2,18
2,19
3,20
3,21
3,22
3,23
3,24
3,25
3,26
3,27
3,28
4,0
5,29
5,30
5,31
5,32
5,33
5,34
5,35
5,36
6,37
6,38
6,39
6,40
6,41
6,42
6,43
6,44
6,45
6,46
6,47
6,48
6,49
6,50
6,51
6,52
7,53
7,54
7,55
7,56
7,57
7,58
7,59
7,60
7,61
7,62
8,63
8,64
8,65
8,66
8,67
8,68
8,69
8,70
9,71
9,72
9,73
9,74
10,75
10,76
10,77
10,78
10,79
10,80
10,81
10,82
10,83
10,84
10,85
11,0
12,86
12,87
12,88
12,89
12,90
12,91
12,92
12,93
12,94
12,95
12,96
12,97
12,98
12,99
12,100
12,101
12,102
12,103
12,104
12,105
12,106
12,107
12,108
12,109
12,110
13,111
13,112
13,113
13,114
13,115
13,116
13,117
13,118
13,119
13,120
13,121
14,122
14,123
14,124
14,125
14,126
14,127
14,128
14,129
14,130
14,131
15,0
16,132
16,133
16,134
16,135
16,136
16,137
16,138
16,139
17,0
18,140
18,141
18,142
18,143
18,144
18,145
18,146
18,147
18,148
18,149
18,150
18,151
19,152
19,153
19,154
19,155
19,156
19,157
19,158
19,159
19,160
19,161
20,162
20,163
20,164
20,165
20,166
20,167
20,168
20,169
21,0
22,170
22,171
22,172
22,173
22,174
22,175
22,176
22,177
22,178
22,179
23,180
23,181
23,182
23,183
23,184
23,185
24,186
24,187
24,188
24,189
25,190
25,191
25,192
25,184
26,193
27,194
27,195
27,196
27,184
27,185
27,197
28,198
28,199
28,200
28,201
28,202
28,203
28,204
28,205
28,206
28,207
28,208
29,209
29,210
29,211
29,212
29,213
29,214
29,215
29,216
29,217
29,218
30,219
30,220
30,221
30,222
30,223
30,224
30,225
30,226
30,227
30,228
31,229
31,230
31,231
31,232
31,233
31,234
31,235
32,236
32,237
32,238
32,239
32,240
32,241
32,242
32,243
32,244
32,245
32,246
33,247
33,248
33,249
33,250
33,251
33,252
33,253
34,254
34,255
34,256
34,257
34,258
34,259
34,260
34,261
34,262
34,263
35,264
35,265
35,266
35,267
35,268
36,269
36,270
36,271
36,272
36,273
36,274
36,275
36,276
36,277
36,278
37,279
37,280
37,281
37,282
37,283
37,284
37,285
37,286
37,287
37,288
38,289
38,290
38,291
38,292
38,293
39,294
39,295
39,296
39,297
39,298
39,299
39,300
39,301
39,302
40,303
40,304
40,305
40,306
40,307
40,308
40,309
41,310
41,311
41,312
41,313
41,314
41,315
41,316
41,317
41,318
41,319
41,320
42,321
42,322
42,227
42,323
42,324
42,325
42,326
42,327
42,328
42,329
43,321
43,323
43,324
43,330
43,326
43,331
43,332
43,333
43,334
43,335
44,336
44,337
44,338
44,339
44,340
44,341
44,342
44,343
44,344
44,345
45,323
45,346
45,347
45,348
45,349
45,350
45,351
45,352
46,0
47,353
47,354
47,355
47,356
47,357
47,358
47,359
47,360
47,361
47,362
48,363
48,364
48,365
48,366
48,367
48,368
48,369
48,370
48,371
48,372
49,353
49,373
49,374
49,375
49,376
49,377
49,378
49,379
49,380
49,381
49,382
50,383
50,384
50,385
50,386
50,387
50,388
50,389
50,390
50,391
50,392
50,393
50,394
50,395
50,396
51,397
51,398
51,399
51,400
51,401
