MediaId,CountryID
1,1
2,2
3,0
4,0
5,3
6,0
7,0
8,1
8,4
8,5
8,6
8,7
8,8
9,6
10,1
11,0
12,0
13,7
13,9
14,0
15,0
16,1
17,0
18,10
19,0
20,0
21,0
22,11
23,0
24,0
25,3
26,12
27,0
28,1
29,1
30,1
30,3
30,13
31,0
32,0
33,6
34,0
35,0
36,0
37,0
38,14
39,15
39,16
39,1
40,3
41,1
42,1
43,1
44,1
45,1
46,0
47,2
47,1
47,17
48,0
49,1
50,18
51,3
52,17
53,17
54,17
55,17
56,1
57,17
58,17
59,17
60,17
61,17
62,17
63,17
64,17
65,0
66,6
67,3
68,1
69,0
70,3
71,0
72,0
73,6
74,18
75,0
76,0
77,17
78,0
79,0
80,0
81,0
82,1
83,1
84,0
85,18
86,0
87,0
88,0
89,0
90,0
91,19
91,1
92,13
93,20
94,0
95,6
95,1
96,1
96,6
97,1
98,1
99,6
100,13
100,1
101,0
102,1
103,0
104,0
105,21
106,3
107,1
108,1
109,12
110,19
111,0
112,1
112,22
113,0
114,0
115,3
116,6
116,12
116,13
117,3
118,6
118,1
119,3
120,0
121,12
122,0
123,6
123,12
123,13
123,1
124,0
125,21
126,1
127,3
128,1
128,16
129,0
130,7
130,1
131,0
132,1
133,0
134,2
134,1
135,1
135,10
136,1
136,23
136,13
136,17
137,1
137,23
137,24
137,6
138,12
138,1
139,1
140,1
141,25
141,26
142,1
142,6
142,16
143,7
143,1
144,1
145,1
146,1
147,1
148,0
149,0
150,1
151,1
152,15
152,27
153,1
154,28
155,17
156,6
156,1
157,1
158,16
159,1
160,27
161,1
162,1
163,1
163,15
163,27
164,1
165,1
166,0
167,23
167,1
168,1
168,16
169,1
170,1
171,1
172,1
173,1
173,7
174,1
175,1
176,1
177,1
178,6
178,1
179,1
180,1
181,0
182,0
183,1
184,1
185,1
186,0
187,0
188,0
189,13
190,0
191,3
192,6
192,16
192,1
193,3
194,0
194,21
195,0
196,3
197,0
198,0
199,18
200,3
201,3
202,3
203,3
204,3
205,3
206,3
207,3
208,3
209,3
210,3
211,3
212,3
213,29
214,0
215,0
216,3
217,3
218,3
219,0
220,17
221,1
222,0
223,0
224,0
225,0
226,0
227,0
228,1
229,1
229,6
230,1
231,0
232,1
233,1
234,6
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,1
243,0
244,0
245,0
246,0
247,0
248,1
249,0
250,0
251,0
252,1
253,0
254,3
255,1
256,0
257,0
258,0
259,0
260,3
260,30
261,0
262,0
263,0
264,1
265,1
266,17
267,3
268,31
268,12
268,13
268,1
269,0
270,23
271,23
271,32
271,33
272,1
273,1
274,13
275,1
276,25
277,19
278,34
279,35
280,1
280,17
281,1
282,18
283,10
284,20
284,6
285,6
285,1
286,36
286,6
286,12
287,1
288,0
289,35
290,21
291,1
292,17
293,6
294,2
295,0
296,1
297,37
297,1
298,3
299,18
300,13
301,16
301,1
302,3
303,32
304,25
305,6
306,25
306,19
307,18
308,1
309,1
310,0
311,1
312,10
313,1
314,38
315,1
316,1
316,18
317,38
318,1
319,0
320,38
321,0
322,38
323,38
324,1
325,23
326,1
327,1
328,1
328,6
329,39
329,1
330,1
330,16
331,1
331,16
332,0
333,1
333,10
334,1
335,1
336,1
337,0
338,1
338,16
339,17
340,0
341,1
341,6
342,1
343,1
344,1
345,1
346,1
346,16
347,1
348,19
348,6
348,1
349,6
349,1
350,1
351,1
352,1
352,7
353,1
353,15
354,1
355,1
356,1
357,1
357,13
358,19
358,13
358,6
358,1
359,1
360,1
361,1
362,1
363,0
364,0
365,0
366,0
366,13
366,40
367,6
368,0
369,0
370,0
371,1
372,0
373,0
374,0
375,18
376,0
377,0
378,41
379,1
380,0
381,1
382,0
383,1
384,3
385,0
386,7
387,1
387,16
388,0
389,0
390,13
390,37
390,7
390,1
390,6
391,1
392,16
392,1
393,1
394,12
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,19
403,6
404,1
405,0
406,0
407,0
408,0
409,0
410,0
411,3
412,0
413,0
414,0
415,0
416,3
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,1
427,31
428,0
429,0
430,18
431,0
432,0
433,0
434,1
435,25
436,0
437,42
438,1
439,0
440,43
441,1
442,0
443,1
443,16
444,0
445,0
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,44
454,17
455,0
456,0
457,21
458,45
458,46
458,7
459,0
460,1
461,1
461,16
462,0
463,1
464,23
465,0
466,0
467,0
468,0
469,0
